CONTROLN,STATE,GENDER,HV1 - Median Home Value in hundreds,IC1 - Median Household Income in hundreds,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D,Described DOMAIN,,Gender,
112496,AR,F,1906,512,896,44,41437,0,21,540,759,"8,125",0,30.12.1899,C1,10,Highest Socio Economic Group and City,,,
69963,MI,F,567,359,405,0,14794,0,80,395,370,"23,125",0,12.09.1910,S3,25,Lowerst Socio Economic Group Suburban,,,
32538,FL,F,752,346,413,0,14353,9,24,367,374,"5,307692308",0,17.02.1904,S2,6,Average Socio Economic Group Suburban,,,
160103,CA,F,0,0,0,0,0,0,0,0,0,"5,25",0,09.11.1909,S2,5,Average Socio Economic Group Suburban,,,
152151,CA,N,1447,296,434,9,17489,9,44,402,355,"23,85714286",0,30.12.1899,S3,42,Lowerst Socio Economic Group Suburban,,,
120805,TX,F,693,332,390,5,15009,3,75,339,367,"6,428571429",0,01.08.1909,C2,5,Average Socio Economic Group and City,,,
162271,CA,N,4474,467,687,87,27544,18,41,608,583,10,0,30.12.1899,S1,15,Highest Socio Economic Group Suburban,,,
74955,IA,F,334,165,268,0,10461,0,84,193,219,"12,61290323",0,07.08.1906,T3,10,Lowest Socio Economic Group and Town,,,
151846,CA,N,1234,284,284,2,8270,27,38,276,308,"5,75",0,30.12.1899,S1,10,Highest Socio Economic Group Suburban,,,
119868,TX,F,696,409,470,1,18427,1,77,439,439,"10,42857143",0,25.07.1903,T1,10,Highest Socio Economic Group and Town,,,
43001,FL,F,1167,267,349,20,14192,11,20,274,323,15,0,30.12.1899,C2,15,Average Socio Economic Group and City,,,
118487,TX,F,420,171,293,1,10643,1,78,234,247,15,0,14.08.1918,R2,20,Average Socio Economic Group and Rural,,,
23056,SC,F,1299,577,596,2,19461,0,43,589,590,4,0,05.08.1912,S1,"12,5",Highest Socio Economic Group Suburban,,,
105068,KS,N,731,354,423,2,14555,0,76,370,398,"5,304347826",0,30.12.1899,R2,7,Average Socio Economic Group and Rural,,,
170479,CA,F,670,182,252,1,8448,1,74,194,239,"8,857142857",0,02.07.1911,R2,10,Average Socio Economic Group and Rural,,,
169198,CA,F,960,288,314,2,13094,6,60,272,329,"23,75",0,02.07.1911,C2,25,Average Socio Economic Group and City,,,
126949,TX,F,0,0,0,0,0,0,0,0,0,"10,5",0,14.12.1910,C3,10,Lowest Socio Economic Group and City,,,
51692,Tennessee,F,829,345,432,1,16592,0,57,394,404,"10,6",0,19.02.1907,T1,15,Highest Socio Economic Group and Town,,,
38539,FL,F,1458,275,597,24,34713,22,3,446,427,"5,5",0,09.10.1908,C1,13,Highest Socio Economic Group and City,,,
153771,CA,F,2111,463,580,56,22198,6,32,551,529,20,0,05.10.1908,C1,25,Highest Socio Economic Group and City,,,
177039,OR,F,620,232,331,0,11354,3,44,288,284,"9,729166667",0,14.01.1906,R2,21,Average Socio Economic Group and Rural,,,
12234,CA,F,2247,357,500,60,18748,10,56,425,430,"9,517241379",0,09.01.1906,C2,10,Average Socio Economic Group and City,,,
59240,IN,F,1395,575,704,28,24518,7,61,580,687,9,0,30.12.1899,S1,10,Highest Socio Economic Group Suburban,,,
127028,TX,F,586,242,348,0,13539,2,65,295,288,"9,142857143",0,30.12.1899,S2,18,Average Socio Economic Group Suburban,,,
190560,KS,N,220,181,272,0,9296,2,71,238,220,"3,727272727",0,13.02.1907,0,5,#N/A,,,
158022,CA,F,2380,420,586,77,32129,6,21,490,567,"8,47826087",0,05.12.1904,C1,15,Highest Socio Economic Group and City,,,
134159,UT,F,693,343,383,0,9139,2,81,357,367,20,0,30.12.1899,T2,15,Average Socio Economic Group and Town,,,
102953,MO,F,652,236,372,5,13699,2,57,309,303,15,0,02.05.1915,T2,21,Average Socio Economic Group and Town,,,
45968,FL,F,1155,328,458,12,15451,2,35,399,399,"12,5",0,13.09.1916,R2,18,Average Socio Economic Group and Rural,,,
158615,CA,F,2875,290,442,75,24936,14,34,374,347,10,0,13.02.1907,S1,15,Highest Socio Economic Group Suburban,,,
42686,FL,F,824,263,352,3,13532,8,13,289,313,20,0,30.12.1899,C2,20,Average Socio Economic Group and City,,,
190789,MI,N,1770,712,730,15,24238,10,79,720,713,12,0,02.09.1904,S1,18,Highest Socio Economic Group Suburban,,,
102741,MO,F,238,176,287,0,10253,0,82,225,233,"14,42857143",0,09.01.1906,R2,20,Average Socio Economic Group and Rural,,,
157481,CA,N,2439,521,619,68,21808,17,48,572,574,17,0,28.03.1914,S1,19,Highest Socio Economic Group Suburban,,,
21922,NC,F,844,263,352,21,12936,0,55,286,323,"15,53571429",0,19.03.1908,R3,20,Lowest Socio Economic Group and Rural,,,
35908,FL,F,693,373,463,7,16854,1,24,457,413,15,0,09.09.1913,S2,20,Average Socio Economic Group Suburban,,,
163675,CA,N,1693,423,492,23,17493,6,58,467,457,"10,875",0,01.08.1909,U2,10,Average Socio Economic Group and Urban,,,
37221,FL,N,775,236,363,0,15628,14,8,296,308,"3,956521739",0,11.01.1903,U3,6,Lowest Socio Economic Group and Urban,,,
187959,NC,N,1024,360,429,11,15002,1,33,364,396,"7,5",0,30.12.1899,T2,10,Average Socio Economic Group and Town,,,
103330,MO,F,915,377,492,7,16206,3,62,432,445,"10,33333333",0,04.05.1912,T1,50,Highest Socio Economic Group and Town,,,
174360,OR,F,1163,617,655,2,24280,12,30,631,633,"8,916666667",0,21.10.1914,S1,11,Highest Socio Economic Group Suburban,,,
30745,GA,F,717,339,424,3,14609,3,53,388,381,"12,5",0,30.12.1899,T3,25,Lowest Socio Economic Group and Town,,,
20645,NC,F,405,187,214,0,7303,1,91,182,216,"11,33333333",0,30.12.1899,R3,10,Lowest Socio Economic Group and Rural,,,
80866,WI,F,438,342,373,0,11227,0,81,360,339,"4,545454546",0,24.05.1907,R2,4,Average Socio Economic Group and Rural,,,
144110,CA,F,5882,533,657,98,31652,40,23,596,623,"9,777777778",0,09.08.1909,U1,15,Highest Socio Economic Group and Urban,,,
77116,WI,F,660,308,370,1,11996,2,90,326,351,"9,111111111",0,13.09.1916,R2,10,Average Socio Economic Group and Rural,,,
60265,IN,F,225,191,226,0,7426,0,79,198,185,"3,15",0,30.05.1910,C3,5,Lowest Socio Economic Group and City,,,
74552,MI,F,376,253,321,0,10637,1,89,304,281,"4,555555556",0,30.12.1899,T2,3,Average Socio Economic Group and Town,,,
29215,GA,F,920,323,449,9,15305,1,65,375,404,"17,375",0,01.07.1905,C1,38,Highest Socio Economic Group and City,,,
3504,OR,F,700,360,424,0,13620,4,54,390,394,"15,77777778",0,15.03.1905,S2,17,Average Socio Economic Group Suburban,,,
24080,SC,N,475,285,301,1,9446,0,86,302,275,25,0,27.04.1912,R2,25,Average Socio Economic Group and Rural,,,
168317,CA,N,2341,311,502,70,13577,12,50,469,427,8,0,30.12.1899,U1,13,Highest Socio Economic Group and Urban,,,
56049,MS,F,398,243,309,0,9897,1,81,277,270,"9,5",0,01.06.1907,R2,14,Average Socio Economic Group and Rural,,,
165719,CA,F,3567,639,832,88,35491,6,46,739,710,"3,411764706",0,01.06.1913,C1,4,Highest Socio Economic Group and City,,,
171950,CA,F,1444,439,485,10,16815,8,60,441,475,"6,8",0,19.03.1908,S2,10,Average Socio Economic Group Suburban,,,
41187,FL,N,514,222,298,1,11184,9,53,258,268,15,0,30.12.1899,U4,15,#N/A,,,
132304,CO,F,774,360,396,1,16493,0,36,367,392,"5,888888889",0,23.06.1905,T1,10,Highest Socio Economic Group and Town,,,
138944,AZ,F,1436,298,466,25,20792,9,12,378,395,"7,571428571",0,05.10.1908,C1,11,Highest Socio Economic Group and City,,,
186579,CA,F,1869,559,600,38,20539,5,61,560,577,"6,157894737",0,30.12.1899,T2,5,Average Socio Economic Group and Town,,,
117711,TX,F,271,114,258,0,7545,0,76,180,168,"13,6",0,22.03.1908,C2,16,Average Socio Economic Group and City,,,
108989,LA,F,1381,631,776,19,29012,1,64,672,718,15,0,10.08.1915,C1,15,Highest Socio Economic Group and City,,,
12666,AZ,N,863,274,446,0,22486,4,0,325,368,"68,8",0,05.10.1908,T1,75,Highest Socio Economic Group and Town,,,
34302,FL,F,837,321,431,8,13796,3,49,341,397,"11,47619048",0,30.07.1906,T2,14,Average Socio Economic Group and Town,,,
145231,CA,N,0,303,725,0,33139,22,16,664,388,"5,466666667",0,30.12.1899,U2,6,Average Socio Economic Group and Urban,,,
65061,MI,N,1559,557,666,27,25181,7,80,621,604,20,0,07.04.1914,S1,25,Highest Socio Economic Group Suburban,,,
112288,CA,F,1259,389,458,13,15213,10,54,396,434,"13,16666667",0,19.03.1908,R3,12,Lowest Socio Economic Group and Rural,,,
41448,FL,F,1503,396,659,29,25969,8,33,572,519,"9,857142857",0,07.07.1911,U1,15,Highest Socio Economic Group and Urban,,,
124787,TX,F,626,235,272,2,7918,22,68,246,258,15,0,30.12.1899,S2,20,Average Socio Economic Group Suburban,,,
105650,KS,F,491,325,356,0,13143,0,74,342,334,"4,333333333",0,15.03.1905,T2,10,Average Socio Economic Group and Town,,,
45982,FL,F,607,285,362,1,12378,2,29,344,331,8,0,30.12.1899,T2,15,Average Socio Economic Group and Town,,,
162606,CA,F,2653,418,444,86,13440,31,50,417,448,"12,5",0,10.10.1911,S2,9,Average Socio Economic Group Suburban,,,
190769,AR,N,855,257,374,6,14500,1,56,267,345,10,0,30.12.1899,S2,10,Average Socio Economic Group Suburban,,,
177087,OR,N,619,372,423,0,13208,0,42,394,409,"11,4",0,10.07.1917,C2,12,Average Socio Economic Group and City,,,
101654,MO,F,634,322,406,0,14128,1,64,378,355,"15,33333333",0,02.07.1911,C2,18,Average Socio Economic Group and City,,,
62760,IN,N,397,297,362,0,11981,1,79,340,317,"3,7",0,30.12.1899,R2,5,Average Socio Economic Group and Rural,,,
122131,TX,F,831,597,629,0,18705,12,59,601,625,"19,25",0,05.08.1912,S1,15,Highest Socio Economic Group Suburban,,,
78009,WI,F,804,426,470,0,14328,2,89,445,454,20,0,30.12.1899,T2,20,Average Socio Economic Group and Town,,,
86445,ND,F,751,304,381,0,13051,1,64,340,338,"8,625",0,02.05.1912,C1,15,Highest Socio Economic Group and City,,,
162343,CA,N,5283,613,742,99,29050,30,50,696,674,"10,63636364",0,13.11.1912,S1,20,Highest Socio Economic Group Suburban,,,
148946,CA,F,1756,349,388,18,10285,48,38,355,384,13,0,30.12.1899,U3,10,Lowest Socio Economic Group and Urban,,,
44009,FL,F,1086,384,502,12,17091,4,24,433,457,"9,375",0,07.01.1903,S2,20,Average Socio Economic Group Suburban,,,
40338,FL,F,902,410,461,4,15332,13,28,413,460,"12,4",0,22.11.1918,S2,21,Average Socio Economic Group Suburban,,,
91101,IL,N,889,510,513,0,16731,0,86,518,517,"16,4",0,03.05.1912,S2,25,Average Socio Economic Group Suburban,,,
128122,TX,N,438,215,267,3,8729,1,68,264,240,"6,125",0,30.12.1899,T2,5,Average Socio Economic Group and Town,,,
67742,MI,F,1101,515,624,18,19857,1,81,560,554,"7,9",0,27.04.1906,T1,5,Highest Socio Economic Group and Town,,,
66303,MI,F,704,471,511,0,16111,22,66,494,481,"3,727272727",0,01.11.1903,U2,2,Average Socio Economic Group and Urban,,,
184690,AK,N,778,473,568,0,20008,15,27,446,546,15,0,30.12.1899,C2,20,Average Socio Economic Group and City,,,
7265,CA,F,1465,283,519,1,24555,16,25,341,369,"10,70588235",0,30.12.1899,0,10,#N/A,,,
33135,FL,F,754,351,435,1,14518,2,47,377,402,"9,8125",0,02.05.1909,S3,10,Lowerst Socio Economic Group Suburban,,,
55624,MS,F,403,197,365,2,19178,0,79,230,293,"9,705882353",0,29.04.1906,T3,10,Lowest Socio Economic Group and Town,,,
8657,WA,F,1734,353,430,29,15831,3,44,405,396,"16,42857143",0,07.10.1905,S2,15,Average Socio Economic Group Suburban,,,
129174,AZ,N,850,309,409,3,14718,4,22,371,356,"9,166666667",0,30.12.1899,0,10,#N/A,,,
129453,CO,F,1174,460,603,9,21646,3,40,550,525,"5,444444444",0,01.09.1907,T1,5,Highest Socio Economic Group and Town,,,
50027,Tennessee,F,776,312,397,1,12653,1,77,356,367,"5,636363636",0,30.12.1899,R2,40,Average Socio Economic Group and Rural,,,
9742,OR,N,661,322,378,0,12749,7,56,346,356,"9,238095238",0,13.11.1912,S2,14,Average Socio Economic Group Suburban,,,
173094,CA,N,609,220,319,2,11902,4,57,238,297,"9,166666667",0,28.07.1906,R3,15,Lowest Socio Economic Group and Rural,,,
182573,WA,N,634,266,372,1,12161,2,58,320,323,"6,583333333",0,04.08.1909,R2,12,Average Socio Economic Group and Rural,,,
185815,FL,F,550,175,196,3,7958,29,20,188,191,"5,25",0,10.12.1907,U3,7,Lowest Socio Economic Group and Urban,,,
179876,WA,F,1373,379,529,12,19190,6,53,539,445,"7,75",0,01.09.1907,C3,10,Lowest Socio Economic Group and City,,,
2586,GA,N,916,338,480,0,19463,15,31,419,383,20,0,02.07.1911,S1,20,Highest Socio Economic Group Suburban,,,
22499,SC,F,438,201,272,0,8303,0,84,257,242,"15,61538462",0,28.06.1908,R3,10,Lowest Socio Economic Group and Rural,,,
186773,KY,F,722,267,399,0,14988,2,71,317,324,"4,852941177",0,30.12.1899,S2,8,Average Socio Economic Group Suburban,,,
90680,IL,F,2169,862,951,60,35357,2,69,911,899,"12,61538462",0,21.02.1913,U1,24,Highest Socio Economic Group and Urban,,,
123669,TX,N,923,554,711,6,25962,4,55,584,661,"9,230769231",0,30.08.1901,T1,10,Highest Socio Economic Group and Town,,,
109451,LA,F,608,383,402,0,10899,1,81,410,380,"7,25",0,18.11.1915,R2,25,Average Socio Economic Group and Rural,,,
113891,OK,N,290,173,303,0,10700,2,72,228,244,"8,538461539",0,02.05.1915,R2,11,Average Socio Economic Group and Rural,,,
63941,IN,F,700,379,446,2,13332,0,75,385,432,"8,157894737",0,30.12.1899,R2,10,Average Socio Economic Group and Rural,,,
170998,CA,F,621,250,307,0,10599,8,59,266,275,"10,16666667",0,01.11.1903,R2,10,Average Socio Economic Group and Rural,,,
31959,FL,N,1548,572,736,35,40741,5,20,632,646,25,0,23.04.1909,T1,20,Highest Socio Economic Group and Town,,,
13805,CA,N,1315,304,409,17,15193,4,62,369,355,"27,5",0,05.10.1908,R1,"10,7",Highest Socio Economic Group and Rural,,,
28339,GA,F,2152,389,738,59,28753,4,42,634,501,"11,1",0,30.12.1899,C1,11,Highest Socio Economic Group and City,,,
88920,IL,F,1364,451,561,16,21988,9,62,468,518,25,0,22.01.1915,S1,25,Highest Socio Economic Group Suburban,,,
13727,NE,F,675,284,308,0,18892,5,39,288,317,"20,46153846",0,24.11.1915,T1,30,Highest Socio Economic Group and Town,,,
190410,NC,F,1070,310,435,21,16741,3,53,354,384,"8,682926829",0,30.12.1899,C2,9,Average Socio Economic Group and City,,,
166711,CA,F,675,344,589,0,23719,11,43,520,438,"22,66666667",0,08.08.1909,S2,45,Average Socio Economic Group Suburban,,,
14547,CA,F,1884,518,636,36,19818,4,65,580,542,16,0,22.01.1915,S1,20,Highest Socio Economic Group Suburban,,,
136721,AZ,F,891,427,449,1,14471,5,29,429,440,"22,5",0,23.04.1909,U1,30,Highest Socio Economic Group and Urban,,,
172359,CA,N,566,208,253,0,6854,25,53,223,241,"8,058823529",0,03.08.1909,C3,20,Lowest Socio Economic Group and City,,,
179262,WA,N,1801,533,630,35,19928,6,50,601,570,6,0,13.11.1912,S1,10,Highest Socio Economic Group Suburban,,,
28890,GA,N,553,279,362,1,12145,1,87,307,324,8,0,27.04.1912,T2,15,Average Socio Economic Group and Town,,,
89367,IL,N,1209,466,516,0,16254,6,70,467,517,"3,21875",0,12.05.1918,S1,3,Highest Socio Economic Group Suburban,,,
19641,NC,F,562,373,388,0,10064,0,80,375,378,"17,5",0,18.01.1912,S2,30,Average Socio Economic Group Suburban,,,
1092,CA,N,5817,931,1047,98,91576,16,22,1445,957,"9,84375",0,01.09.1907,U1,15,Highest Socio Economic Group and Urban,,,
40919,FL,N,772,312,376,3,12012,3,58,338,349,"7,166666667",0,05.12.1904,C2,10,Average Socio Economic Group and City,,,
188284,NC,F,2989,289,470,66,21395,6,55,358,387,"5,1",0,28.05.1910,C1,5,Highest Socio Economic Group and City,,,
51269,Tennessee,F,476,204,289,0,9524,1,78,254,250,"5,086956522",0,21.02.1913,R3,5,Lowest Socio Economic Group and Rural,,,
12312,CA,F,1398,150,272,7,8690,23,43,213,223,"122,1666667",0,30.12.1899,C3,95,Lowest Socio Economic Group and City,,,
147464,CA,N,2287,600,652,74,24286,28,34,615,630,20,0,13.01.1909,S1,30,Highest Socio Economic Group Suburban,,,
155388,CA,F,883,322,351,0,13596,3,58,351,344,"12,5",0,05.10.1908,S2,20,Average Socio Economic Group Suburban,,,
90566,IL,F,1181,417,449,0,13716,2,69,424,444,"8,428571429",0,12.08.1915,C2,15,Average Socio Economic Group and City,,,
186013,AL,F,554,296,391,4,12774,1,63,316,351,"9,5",0,24.06.1905,T2,15,Average Socio Economic Group and Town,,,
112406,AR,F,490,229,310,0,10200,1,63,271,275,"22,5",0,30.12.1899,R2,25,Average Socio Economic Group and Rural,,,
95132,IL,F,512,269,357,1,12842,1,73,329,295,14,0,19.05.1904,R2,25,Average Socio Economic Group and Rural,,,
130926,CO,F,1175,517,599,8,18850,2,38,568,565,"5,222222222",0,19.03.1908,T1,5,Highest Socio Economic Group and Town,,,
168535,CA,N,2103,333,368,58,9513,52,37,306,385,25,0,14.10.1914,U2,35,Average Socio Economic Group and Urban,,,
19129,NC,F,538,227,374,1,13593,0,78,288,299,"11,33333333",0,02.07.1911,T2,5,Average Socio Economic Group and Town,,,
164651,CA,F,2208,313,411,71,14497,25,46,334,393,"11,5",0,05.10.1908,U2,5,Average Socio Economic Group and Urban,,,
94113,IL,F,698,164,293,26,10618,5,57,201,250,"10,625",0,23.11.1912,U4,10,#N/A,,,
116453,TX,F,849,394,457,3,14757,2,70,422,430,15,0,18.09.1919,S1,15,Highest Socio Economic Group Suburban,,,
72409,MI,F,318,296,299,0,11236,2,50,292,296,"8,894736842",0,21.03.1902,T3,10,Lowest Socio Economic Group and Town,,,
190634,SC,N,834,389,436,0,17338,6,42,398,423,8,0,06.09.1904,C1,20,Highest Socio Economic Group and City,,,
128975,AA,N,0,0,0,0,0,0,0,0,0,"8,266666667",0,11.06.1916,S2,15,Average Socio Economic Group Suburban,,,
177927,OR,N,709,262,372,8,13486,3,44,304,339,"11,25",0,28.04.1906,R2,15,Average Socio Economic Group and Rural,,,
122988,TX,F,735,418,553,0,16097,12,42,571,461,15,0,02.05.1915,C1,14,Highest Socio Economic Group and City,,,
181891,WA,N,759,263,287,1,8915,3,44,270,281,"14,7",0,23.04.1909,T2,25,Average Socio Economic Group and Town,,,
107040,NE,N,613,259,402,0,17455,4,51,348,299,"7,076923077",0,24.05.1907,C2,10,Average Socio Economic Group and City,,,
97596,IL,F,350,283,350,0,11446,0,83,333,286,10,0,18.11.1915,C3,15,Lowest Socio Economic Group and City,,,
12049,AR,N,326,125,213,0,8845,1,32,189,189,"6,3",0,12.09.1907,R3,5,Lowest Socio Economic Group and Rural,,,
190155,AZ,F,641,278,322,0,13653,2,28,289,304,"10,6",0,30.12.1899,U3,15,Lowest Socio Economic Group and Urban,,,
154055,CA,F,2953,247,384,87,16742,17,27,307,303,"7,923076923",0,30.12.1899,S1,10,Highest Socio Economic Group Suburban,,,
122664,TX,F,745,275,325,3,10957,5,68,301,295,20,0,27.04.1912,T2,20,Average Socio Economic Group and Town,,,
157275,CA,F,3454,470,665,94,34702,10,36,571,553,"13,5625",0,23.06.1905,S1,10,Highest Socio Economic Group Suburban,,,
175396,OR,F,409,220,297,0,10461,5,58,275,275,13,0,17.07.1914,U4,22,#N/A,,,
164461,CA,N,2632,517,618,79,22438,22,39,572,571,"6,6",0,02.05.1915,S1,8,Highest Socio Economic Group Suburban,,,
119089,TX,N,1038,482,626,0,24816,0,61,535,580,"8,1",0,19.04.1906,R2,11,Average Socio Economic Group and Rural,,,
183747,WA,F,902,374,505,8,20810,2,45,367,505,"18,75",0,13.11.1912,R1,25,Highest Socio Economic Group and Rural,,,
20802,NC,N,436,160,258,1,8631,1,89,206,214,15,0,05.11.1906,T2,25,Average Socio Economic Group and Town,,,
139563,NM,N,1647,541,642,21,26255,9,22,599,611,"7,388888889",0,30.12.1899,S1,8,Highest Socio Economic Group Suburban,,,
191134,KS,F,431,222,284,0,8886,13,61,261,264,"5,805555556",0,30.12.1899,T3,5,Lowest Socio Economic Group and Town,,,
183043,WA,N,876,337,439,3,15017,4,37,353,403,20,0,05.10.1908,S2,25,Average Socio Economic Group Suburban,,,
188801,FL,N,577,245,300,0,11975,10,10,257,279,"8,642857143",0,30.12.1899,C2,15,Average Socio Economic Group and City,,,
130407,FL,F,533,176,242,1,12595,3,6,189,216,13,0,27.06.1908,S1,22,Highest Socio Economic Group Suburban,,,
183793,WA,F,747,373,421,1,13628,2,53,380,409,10,0,30.12.1899,C1,12,Highest Socio Economic Group and City,,,
170229,CA,F,1493,229,320,20,10841,8,62,298,276,"9,303030303",0,30.12.1899,T2,11,Average Socio Economic Group and Town,,,
86073,SD,N,216,211,299,0,9250,0,80,272,258,"5,9375",0,28.05.1910,R2,10,Average Socio Economic Group and Rural,,,
31239,GA,F,475,248,329,3,10549,0,76,263,307,"9,666666667",0,30.12.1899,R2,10,Average Socio Economic Group and Rural,,,
